scientific_name,family,order,type,max_speed,wingspan,wingarea,mass,speed
Accipiter badius,Accipitridae,Accipitriformes,other,17.7380325540294,0.5784,0.05126,0.129275,18
Accipiter brevipes,Accipitridae,Accipitriformes,other,17.676005656854,0.7,0.0739,0.19699,18
Accipiter cooperii,Accipitridae,Accipitriformes,other,20.0143903171048,0.832,0.12,0.478835,21
Accipiter gentilis,Accipitridae,Accipitriformes,other,20.554676310943,1.05425,0.182203392857143,0.888627142857143,21
Accipiter melanoleucus,Accipitridae,Accipitriformes,other,20.2222363140909,1.017,0.15426,0.722495,21
Accipiter minullus,Accipitridae,Accipitriformes,other,18.5134764545497,0.3854,0.035005,0.077715,19
Accipiter nisus,Accipitridae,Accipitriformes,other,18.4088531115305,0.684478571428572,0.0786625714285714,0.228305714285714,19
Accipiter ovampensis,Accipitridae,Accipitriformes,other,18.0331546124236,0.6674,0.06549,0.185,19
Accipiter rufiventris,Accipitridae,Accipitriformes,other,17.2272528589833,0.7203,0.07484,0.189,18
Accipiter striatus,Accipitridae,Accipitriformes,other,17.0102052913029,0.601,0.0658,0.137795,18
Accipiter tachiro,Accipitridae,Accipitriformes,other,19.1545551578234,0.6984,0.10168,0.30835,20
Acrocephalus arundinaceus,Acrocephalidae,Passeriformes,passerine,15.7091689795986,0.271575,0.0137135,0.030625,16
Acrocephalus palustris,Acrocephalidae,Passeriformes,passerine,14.5320186896418,0.19615,0.0073055,0.011825,15
Acrocephalus schoenobaenus,Acrocephalidae,Passeriformes,passerine,14.4711748219838,0.191275,0.0075365,0.0115275,15
Acrocephalus scirpaceus,Acrocephalidae,Passeriformes,passerine,14.5872646617408,0.19219,0.007611,0.01205,15
Actitis hypoleucos,Scolopacidae,Charadriiformes,other,20.9632788915586,0.34,0.0105,0.0545,21
Aechmophorus occidentalis,Podicipedidae,Podicipediformes,other,27.2097909132354,0.794,0.0758,1.308475,28
Aegithalos caudatus,Aegithalidae,Passeriformes,passerine,14.0088219641784,0.168875,0.0065678125,0.00834125,15
Aegypius monachus,Accipitridae,Accipitriformes,other,13.9037253747615,3.04,1.4,9.610275,14
Aethia cristatella,Alcidae,Charadriiformes,seabird,24.9064126236206,0.48,0.0283,0.26818,25
Aethia psittacula,Alcidae,Charadriiformes,seabird,24.3171049724057,0.502,0.0334,0.27599,25
Aethia pusilla,Alcidae,Charadriiformes,seabird,23.2282958938419,0.325,0.0144,0.093995,24
Agelaius phoeniceus,Icteridae,Passeriformes,passerine,16.9741013229138,0.3,0.0172,0.05169,17
Alauda arvensis,Alaudidae,Passeriformes,passerine,14.4046981574315,0.349128571428571,0.0216157142857143,0.0364478571428571,15
Alca torda,Alcidae,Charadriiformes,seabird,26.6860741032372,0.661,0.0462,0.694495,27
Alcedo atthis,Alcedinidae,Coraciiformes,other,19.6061584850509,0.259517857,0.011832857,0.033445,20
Alectoris rufa,Phasianidae,Galliformes,other,26.2163873994607,0.51,0.04,0.45393,27
Alle alle,Alcidae,Charadriiformes,seabird,25.0400124935992,0.387,0.0167,0.168365,26
Amazona amazonica,Psittacidae,Psittaciformes,other,19.8130993272452,0.73,0.0895,0.335,20
Anas acuta,Anatidae,Anseriformes,other,24.3303562411784,0.91,0.0892,0.93931,25
Anas crecca,Anatidae,Anseriformes,other,23.3972001583955,0.5746,0.0446785,0.319695,24
Anas georgica,Anatidae,Anseriformes,other,23.9471138833304,0.682,0.0646,0.53041,24
Anas platyrhynchos,Anatidae,Anseriformes,other,24.4196156267089,0.861668367285714,0.100402959142857,0.972434489785714,25
Anhinga anhinga,Anhingidae,Suliformes,other,21.9694212194936,1.16,0.174,1.2375,22
Anous stolidus,Laridae,Charadriiformes,seabird,15.8945624805749,0.833,0.07765,0.179135,16
Anser albifrons,Anatidae,Anseriformes,other,23.6624442178477,1.395,0.21125,2.486195,24
Anser anser,Anatidae,Anseriformes,other,22.8155048065805,1.575,0.32045,3.395205,23
Anser fabalis,Anatidae,Anseriformes,other,22.5540545513355,1.62,0.2675,2.894865,23
Anser indicus,Anatidae,Anseriformes,other,21.6224381575435,1.52,0.278,2.236275,22
Anthus campestris,Motacillidae,Passeriformes,passerine,13.9514804144233,0.2878333335,0.0165716665,0.023,14
Anthus cervinus,Motacillidae,Passeriformes,passerine,14.2281114782512,0.273,0.0129,0.02045,15
Anthus pratensis,Motacillidae,Passeriformes,passerine,14.115517927385,0.26422,0.012576,0.01889,15
Anthus spinoletta,Motacillidae,Passeriformes,passerine,14.545055655581,0.2745,0.0151825,0.0243625,15
Anthus trivialis,Motacillidae,Passeriformes,passerine,14.7148008749313,0.26816666675,0.01318083325,0.023015,15
Antrostomus carolinensis,Caprimulgidae,Caprimulgiformes,other,15.7454041679007,0.655,0.0565,0.1095,16
Aphrodroma brevirostris,Procellariidae,Procellariiformes,seabird,20.0195620904983,0.8715,0.06375,0.34575,21
Aptenodytes forsteri,Spheniscidae,Sphenisciformes,seabird,43.2317154042944,1.36,0.094,29.234665,44
Aptenodytes patagonicus,Spheniscidae,Sphenisciformes,seabird,32.6057214133679,1.28,0.082,11.865535,33
Apus affinis,Apodidae,Caprimulgiformes,other,16.1572034781976,0.33,0.01,0.020285,17
Apus apus,Apodidae,Caprimulgiformes,other,17.0622261356077,0.4,0.0162,0.0389666666666667,18
Apus pallidus,Apodidae,Caprimulgiformes,other,16.4897266295617,0.42,0.02065,0.04145,17
Aquila chrysaetos,Accipitridae,Accipitriformes,other,19.8589003046914,1.9736,0.617675,4.264685,20
Aquila fasciata,Accipitridae,Accipitriformes,other,18.9758571114129,1.74,0.3792,1.992745,19
Aquila nipalensis,Accipitridae,Accipitriformes,other,18.8769903347527,2.05333333333333,0.462463333333333,2.819665,19
Aquila rapax,Accipitridae,Accipitriformes,other,18.9530175298431,1.8016,0.421305,2.24278,19
Aquila spilogaster,Accipitridae,Accipitriformes,other,19.9223283572909,1.4167,0.27518,1.473035,20
Aquila verreauxii,Accipitridae,Accipitriformes,other,19.9712124758595,1.9942,0.51386,3.75535,20
Aramus guarauna,Aramidae,Gruiformes,other,20.2831206363235,1.02,0.181,0.8475,21
Ardea alba,Ardeidae,Pelecaniformes,other,16.1520003403952,1.5532,0.326256,0.914565,17
Ardea cinerea,Ardeidae,Pelecaniformes,other,17.6381663714246,1.6292,0.368214,1.401,18
Ardea herodias,Ardeidae,Pelecaniformes,other,19.0479288838298,1.825,0.4555,2.451705,20
Ardea purpurea,Ardeidae,Pelecaniformes,other,18.6990536674947,1.35666666666667,0.2488,1.05224,19
Ardenna bulleri,Procellariidae,Procellariiformes,seabird,18.3615140060263,0.997,0.1036,0.401995,19
Ardenna grisea,Procellariidae,Procellariiformes,seabird,22.8892024618689,1.014,0.0837666666666667,0.7965,23
Ardenna pacifica,Procellariidae,Procellariiformes,seabird,18.1492178387815,1.02,0.1017,0.394,19
Ardenna tenuirostris,Procellariidae,Procellariiformes,seabird,21.5568777075347,0.933333333333333,0.0752,0.537166666666667,22
Ardeola ralloides,Ardeidae,Pelecaniformes,other,17.1293744789999,0.86,0.1114,0.287,18
Ardeotis kori,Otididae,Otidiformes,other,17.4828149957813,2.47,1.06,9.94708,18
Arenaria interpres,Scolopacidae,Charadriiformes,other,21.1110752047692,0.47,0.0261,0.12799,22
Asio capensis,Strigidae,Strigiformes,other,17.3796649532783,0.9154,0.1243,0.34365,18
Asio flammeus,Strigidae,Strigiformes,other,16.1032686191046,0.9981875,0.1419475,0.32693,17
Asio otus,Strigidae,Strigiformes,other,16.4357330044371,0.9119041666,0.1244078194,0.289435,17
Athene cunicularia,Strigidae,Strigiformes,other,18.3191454279996,0.6,0.0555,0.156805,19
Athene noctua,Strigidae,Strigiformes,other,19.2151397238873,0.5405,0.0570933335,0.16646,20
Aviceda cuculoides,Accipitridae,Accipitriformes,other,15.4269796648346,0.9065,0.12953,0.2485,16
Aythya ferina,Anatidae,Anseriformes,other,26.2834830995689,0.724875,0.06227,0.845745,27
Aythya fuligula,Anatidae,Anseriformes,other,25.5132074972324,0.756,0.061942,0.752485,26
Aythya marila,Anatidae,Anseriformes,other,26.2472574422233,0.82,0.0621,0.968185,27
Bombycilla garrulus,Bombycillidae,Passeriformes,passerine,16.7752829363832,0.324625,0.0181975,0.05443,17
Botaurus stellaris,Ardeidae,Pelecaniformes,other,20.9713472701332,1.214,0.232355,1.319975,21
Brachyramphus marmoratus,Alcidae,Charadriiformes,seabird,24.8302543969612,0.443,0.024,0.223,25
Branta bernicla,Anatidae,Anseriformes,other,23.9470475766351,1.055,0.12795,1.299205,24
Branta canadensis,Anatidae,Anseriformes,other,21.8015741925605,1.69,0.3719,3.55334,22
Branta leucopsis,Anatidae,Anseriformes,other,23.4513561752845,1.21,0.164,1.618235,24
Bubo africanus,Strigidae,Strigiformes,other,18.212266135175,1.1329,0.20573,0.6933,19
Bubo bubo,Strigidae,Strigiformes,other,22.1919911069582,1.2945,0.371695,2.677255,23
Bubo capensis,Strigidae,Strigiformes,other,19.658197526918,1.2493,0.23579,1.09142,20
Bubo virginianus,Strigidae,Strigiformes,other,20.4349163251833,1.27,0.256,1.35225,21
Bubulcus ibis,Ardeidae,Pelecaniformes,other,17.9949110331487,0.891,0.114,0.351975,18
Bucephala clangula,Anatidae,Anseriformes,other,27.2019944720604,0.695,0.0539,0.89128,28
Bulweria bulwerii,Procellariidae,Procellariiformes,seabird,15.7132637633264,0.65,0.045,0.094495,16
Butastur indicus,Accipitridae,Accipitriformes,other,20.4323457354813,0.8,0.0907,0.4123,21
Buteo augur,Accipitridae,Accipitriformes,other,18.927097199116,1.3155,0.24175,1.03619,19
Buteo brachyurus,Accipitridae,Accipitriformes,other,17.9236917591768,1.03,0.123,0.433005,18
Buteo buteo,Accipitridae,Accipitriformes,other,17.9470958544016,1.23139372285714,0.240597207857143,0.802721428571429,18
Buteo jamaicensis,Accipitridae,Accipitriformes,other,19.8702086068882,1.21,0.232,1.08058,20
Buteo japonicus,Accipitridae,Accipitriformes,other,18.3441194154126,1.220588235,0.232941176,0.838961765,19
Buteo lagopus,Accipitridae,Accipitriformes,other,18.1806038201323,1.296875,0.26853125,0.949364375,19
Buteo lineatus,Accipitridae,Accipitriformes,other,18.6601527051702,1.01,0.172,0.58636,19
Buteo platypterus,Accipitridae,Accipitriformes,other,19.461162302573,0.897,0.114,0.455575,20
Buteo rufofuscus,Accipitridae,Accipitriformes,other,19.5633857840684,1.319,0.27596,1.2947,20
Buteo swainsoni,Accipitridae,Accipitriformes,other,18.929295391265,1.29,0.227,0.972055,19
Butorides striata,Ardeidae,Pelecaniformes,other,18.2201844741682,0.68,0.0724,0.20675,19
Calcarius lapponicus,Calcariidae,Passeriformes,passerine,14.6339979793955,0.286,0.0139,0.02492,15
Calidris alba,Scolopacidae,Charadriiformes,other,19.3021942972636,0.35,0.016,0.050855,20
Calidris alpina,Scolopacidae,Charadriiformes,other,18.9807574744496,0.361666666666667,0.0158666666666667,0.0495283333333333,19
Calidris canutus,Scolopacidae,Charadriiformes,other,20.1121432573129,0.525333333333333,0.0316666666666667,0.134268333333333,21
Calidris pugnax,Scolopacidae,Charadriiformes,other,19.6406733302289,0.523333333333333,0.0379333333333333,0.136506666666667,20
Calonectris borealis,Procellariidae,Procellariiformes,seabird,18.9536267744101,1.21,0.1114,0.589995,19
Calonectris diomedea,Procellariidae,Procellariiformes,seabird,20.0413643263624,1.21,0.1114,0.740495,21
Calonectris leucomelas,Procellariidae,Procellariiformes,seabird,18.6772178897638,1.11855,0.126125,0.547495,19
Caprimulgus europaeus,Caprimulgidae,Caprimulgiformes,other,15.7452665428725,0.519,0.038545,0.067,16
Caprimulgus ruficollis,Caprimulgidae,Caprimulgiformes,other,13.1413706561772,0.67,0.0567,0.06875,14
Carduelis carduelis,Fringillidae,Passeriformes,passerine,14.5659654738239,0.2329,0.0097314166,0.0164,15
Carpodacus erythrinus,Fringillidae,Passeriformes,passerine,15.4638294022649,0.243875,0.01172425,0.023985,16
Catharacta maccormicki,Stercorariidae,Charadriiformes,seabird,20.4406225175894,1.34,0.207,1.257785,21
Catharacta skua,Stercorariidae,Charadriiformes,seabird,20.4146509573201,1.39666666666667,0.224666666666667,1.38577666666667,21
Cathartes aura,Cathartidae,Cathartiformes,other,16.762876699389,1.785,0.464,1.56787,17
Catharus fuscescens,Turdidae,Passeriformes,passerine,15.4391429159686,0.299,0.0149,0.03295,16
Catharus ustulatus,Turdidae,Passeriformes,passerine,15.2826672005147,0.297,0.0142,0.03065,16
Cecropis daurica,Hirundinidae,Passeriformes,passerine,13.386526634297,0.323388889,0.0160622223333333,0.0221666666666667,14
Centrocercus urophasianus,Phasianidae,Galliformes,other,25.698215988086,0.948,0.142,1.78123,26
Cepphus carbo,Alcidae,Charadriiformes,seabird,24.967678124535,0.698285714,0.059078286,0.629,25
Cepphus columba,Alcidae,Charadriiformes,seabird,26.0086354396861,0.578,0.0422,0.5,27
Cepphus grylle,Alcidae,Charadriiformes,seabird,26.1683362555551,0.525,0.0336,0.4115,27
Cerorhinca monocerata,Alcidae,Charadriiformes,seabird,25.7648310272288,0.615,0.044,0.52237,26
Certhia familiaris,Certhiidae,Passeriformes,passerine,13.4795078231442,0.186333333333333,0.008205,0.00888833333333333,14
Charadrius dubius,Charadriidae,Charadriiformes,other,18.7973296027388,0.35,0.0119,0.03935,19
Charadrius hiaticula,Charadriidae,Charadriiformes,other,19.0518647123608,0.402666666666667,0.0179,0.0603533333333333,20
Charadrius vociferus,Charadriidae,Charadriiformes,other,18.3904286884561,0.501,0.0336,0.09672,19
Chionis albus,Chionidae,Charadriiformes,other,22.2930075347124,0.823,0.105,0.642845,23
Chlidonias leucopterus,Laridae,Charadriiformes,seabird,12.9051150116751,0.61,0.0545,0.0576,13
Chlidonias niger,Laridae,Charadriiformes,seabird,13.7725040979097,0.6,0.0521,0.06515,14
Chloris chloris,Fringillidae,Passeriformes,passerine,15.4168436686303,0.26474,0.012908,0.02698,16
Chordeiles minor,Caprimulgidae,Caprimulgiformes,other,15.8545303693497,0.567,0.0371,0.0742,16
Ciconia abdimii,Ciconiidae,Ciconiiformes,other,17.9295166327899,1.49,0.317,1.214,18
Ciconia ciconia,Ciconiidae,Ciconiiformes,other,19.8087318910697,1.931,0.5243725,3.4494,20
Ciconia nigra,Ciconiidae,Ciconiiformes,other,20.6598221425057,1.70775,0.4317975,2.9445,21
Cinclus cinclus,Cinclidae,Passeriformes,passerine,18.6664355107355,0.2632,0.0135573335,0.061585,19
Cinnyris osea,Nectariniidae,Passeriformes,passerine,14.1474761260824,0.1504,0.004856,0.006675,15
Circaetus cinerascens,Accipitridae,Accipitriformes,other,19.9294093720589,1.135,0.26782,1.126,20
Circaetus cinereus,Accipitridae,Accipitriformes,other,19.2574322992061,1.6407,0.40544,2.049,20
Circaetus gallicus,Accipitridae,Accipitriformes,other,17.5257120397667,1.77833333333333,0.430463333333333,1.69939333333333,18
Circaetus pectoralis,Accipitridae,Accipitriformes,other,17.3476963916469,1.7761,0.36864,1.47885,18
Circus aeruginosus,Accipitridae,Accipitriformes,other,17.485542076745,1.21666666666667,0.210933333333333,0.669868333333333,18
Circus cyaneus,Accipitridae,Accipitriformes,other,15.7878973344251,1.113375,0.18055375,0.404615,16
Circus macrourus,Accipitridae,Accipitriformes,other,16.3171803679043,1.075,0.1518,0.38668,17
Circus pygargus,Accipitridae,Accipitriformes,other,15.3686396938868,1.0675,0.13714,0.304125,16
Clanga pomarina,Accipitridae,Accipitriformes,other,17.3277633737156,1.559,0.4632725,1.471205,18
Clangula hyemalis,Anatidae,Anseriformes,other,26.2758753839971,0.7125,0.0617,0.828625,27
Coccothraustes coccothraustes,Fringillidae,Passeriformes,passerine,17.0540594923015,0.30865,0.0175078333333333,0.0546816666666667,18
Coccyzus americanus,Cuculidae,Cuculiformes,other,18.305132928438,0.402,0.0256,0.064,19
Colaptes auratus,Picidae,Piciformes,other,19.2666794246897,0.497,0.0465,0.13673,20
Colinus virginianus,Odontophoridae,Galliformes,other,24.2771430111388,0.36,0.0259,0.173445,25
Columba livia,Columbidae,Columbiformes,other,22.0626444181496,0.63082,0.0630437666,0.3399666667,23
Columba oenas,Columbidae,Columbiformes,other,20.6606528505672,0.75,0.0532,0.292895,21
Columba palumbus,Columbidae,Columbiformes,other,22.0112620723563,0.75,0.0873,0.4925,23
Coracias garrulus,Coraciidae,Coraciiformes,other,17.1925960421529,0.6305,0.06322875,0.146,18
Corvus corax,Corvidae,Passeriformes,passerine,17.0941057030088,1.175,0.2472,0.987485,18
Corvus corone,Corvidae,Passeriformes,passerine,16.6941531279908,0.9925,0.1936625,0.6190625,17
Corvus frugilegus,Corvidae,Passeriformes,passerine,16.9601351057941,0.8879,0.129837,0.46845,17
Corvus monedula,Corvidae,Passeriformes,passerine,17.3301644623669,0.62592,0.0655348,0.23625,18
Corvus ruficollis,Corvidae,Passeriformes,passerine,16.1941588047211,1.1,0.1944,0.64675,17
Coscoroba coscoroba,Anatidae,Anseriformes,other,22.5155148829234,1.76,0.384,4.44739,23
Coturnix coturnix,Phasianidae,Galliformes,other,21.7246240383809,0.37,0.02,0.09614,22
Coturnix japonica,Phasianidae,Galliformes,other,22.441112912536,0.38,0.0234,0.12689,23
Creagrus furcatus,Laridae,Charadriiformes,seabird,17.2559220531515,1.368,0.1878,0.688495,18
Crex crex,Rallidae,Gruiformes,other,21.2559055425408,0.45245,0.0379155,0.155205,22
Cuculus canorus,Cuculidae,Cuculiformes,other,16.5676738952603,0.5915,0.0555833333333333,0.11218,17
Curruca communis,Sylviidae,Passeriformes,passerine,14.575396751379,0.21508,0.0095529334,0.01504,15
Curruca curruca,Sylviidae,Passeriformes,passerine,14.3477147266568,0.1961,0.0075692,0.01142,15
Curruca hortensis,Sylviidae,Passeriformes,passerine,15.1882459063909,0.24,0.0112,0.02145,16
Curruca nisoria,Sylviidae,Passeriformes,passerine,14.9371227621795,0.24975,0.0129075,0.0225,15
Cursorius cursor,Glareolidae,Charadriiformes,other,18.7724291740223,0.54,0.0407,0.1265,19
Cyanistes caeruleus,Paridae,Passeriformes,passerine,13.9482226657197,0.192833333333333,0.00863,0.0107833333333333,14
Cygnus columbianus,Anatidae,Anseriformes,other,21.7221937063476,1.9725,0.471075,6.033605,22
Cygnus cygnus,Anatidae,Anseriformes,other,18.9770208535359,2.29,0.614833333333333,9.56482833333333,19
Cygnus olor,Anatidae,Anseriformes,other,19.2556080436444,2.3,0.650266666666667,10.0838533333333,20
Daption capense,Procellariidae,Procellariiformes,seabird,20.6725083451473,0.879333333333333,0.0729333333333333,0.42131,21
Delichon urbicum,Hirundinidae,Passeriformes,passerine,13.2769907511493,0.27970833325,0.01086458325,0.015,14
Dendrocopos major,Picidae,Piciformes,other,17.9860132259979,0.41265,0.0359575,0.075855,18
Dinemellia dinemelli,Ploceidae,Passeriformes,passerine,14.3734715840512,0.434,0.0397,0.063945,15
Diomedea epomophora,Diomedeidae,Procellariiformes,seabird,17.4359522409172,2.82,0.4963,8.801305,18
Diomedea exulans,Diomedeidae,Procellariiformes,seabird,17.890548938014,2.99375,0.563175,7.553895,18
Dryocopus martius,Picidae,Piciformes,other,19.4021095680561,0.69225,0.1033275,0.321,20
Dumetella carolinensis,Mimidae,Passeriformes,passerine,15.747104627979,0.287,0.0162,0.035875,16
Egretta caerulea,Ardeidae,Pelecaniformes,other,17.03847376343,0.98,0.134,0.366805,18
Egretta garzetta,Ardeidae,Pelecaniformes,other,18.7759139535859,0.92,0.10805,0.41625,19
Egretta tricolor,Ardeidae,Pelecaniformes,other,18.2303952732987,0.89,0.118,0.37365,19
